"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",1986,"34",9518,9651,19169
"Mid-year population estimate",1986,"35",9601,9829,19430
"Mid-year population estimate",1986,"36",9680,9796,19476
"Mid-year population estimate",1986,"37",9691,9738,19429
"Mid-year population estimate",1986,"38",9929,9757,19686
"Mid-year population estimate",1986,"39",10126,10003,20129
"Mid-year population estimate",1986,"40",9418,9374,18792
"Mid-year population estimate",1986,"41",9525,9168,18693
"Mid-year population estimate",1986,"42",9537,9324,18861
"Mid-year population estimate",1986,"43",9535,9295,18830
"Mid-year population estimate",1986,"44",8630,8487,17117
"Mid-year population estimate",1986,"45",8090,7931,16021
"Mid-year population estimate",1986,"46",8063,7776,15839
"Mid-year population estimate",1986,"47",8207,7853,16060
"Mid-year population estimate",1986,"48",7938,7691,15629
"Mid-year population estimate",1986,"49",8063,7751,15814
"Mid-year population estimate",1986,"50",7920,7586,15506
"Mid-year population estimate",1986,"51",7578,7209,14787
"Mid-year population estimate",1986,"52",7501,7138,14639
"Mid-year population estimate",1986,"53",7717,7134,14851
"Mid-year population estimate",1986,"54",7643,7036,14679
"Mid-year population estimate",1986,"55",7919,7065,14984
"Mid-year population estimate",1986,"56",7974,7009,14983
"Mid-year population estimate",1986,"57",7728,6862,14590
"Mid-year population estimate",1986,"58",7626,6671,14297
"Mid-year population estimate",1986,"59",7750,6880,14630
"Mid-year population estimate",1986,"60",7781,6809,14590
"Mid-year population estimate",1986,"61",7453,6643,14096
"Mid-year population estimate",1986,"62",7649,6611,14260
"Mid-year population estimate",1986,"63",7601,6434,14035
"Mid-year population estimate",1986,"64",7719,6491,14210
"Mid-year population estimate",1986,"65",7786,6471,14257
"Mid-year population estimate",1986,"66",7591,6254,13845
"Mid-year population estimate",1986,"67",6691,5436,12127
"Mid-year population estimate",1986,"68",6076,4801,10877
"Mid-year population estimate",1986,"69",6040,4744,10784
"Mid-year population estimate",1986,"70",6156,4665,10821
"Mid-year population estimate",1986,"71",6507,4835,11342
"Mid-year population estimate",1986,"72",6291,4567,10858
"Mid-year population estimate",1986,"73",6265,4308,10573
"Mid-year population estimate",1986,"74",5907,4052,9959
"Mid-year population estimate",1986,"75",5761,3786,9547
"Mid-year population estimate",1986,"76",5346,3408,8754
"Mid-year population estimate",1986,"77",4976,3087,8063
"Mid-year population estimate",1986,"78",4624,2742,7366
"Mid-year population estimate",1986,"79",4321,2415,6736
"Mid-year population estimate",1986,"80",4036,2105,6141
"Mid-year population estimate",1986,"81",3523,1799,5322
"Mid-year population estimate",1986,"82",3124,1486,4610
"Mid-year population estimate",1986,"83",2729,1256,3985
"Mid-year population estimate",1986,"84",2498,1036,3534
"Mid-year population estimate",1986,"85",2354,924,3278
"Mid-year population estimate",1986,"86",2032,767,2799
"Mid-year population estimate",1986,"87",1672,621,2293
"Mid-year population estimate",1986,"88",1376,490,1866
"Mid-year population estimate",1986,"89",1144,379,1523
"Mid-year population estimate",1986,"90",3477,1049,4526
"Mid-year population estimate",1986,"All",805118,768383,1573501
"Mid-year population estimate",1987,"0",13429,14335,27764
"Mid-year population estimate",1987,"1",13293,14075,27368
"Mid-year population estimate",1987,"2",13019,13969,26988
"Mid-year population estimate",1987,"3",12972,13675,26647
"Mid-year population estimate",1987,"4",12814,13514,26328
"Mid-year population estimate",1987,"5",12876,13331,26207
"Mid-year population estimate",1987,"6",13172,13699,26871
"Mid-year population estimate",1987,"7",13246,13990,27236
"Mid-year population estimate",1987,"8",12827,13226,26053
"Mid-year population estimate",1987,"9",12339,12821,25160
"Mid-year population estimate",1987,"10",12022,12689,24711
"Mid-year population estimate",1987,"11",12102,12772,24874
"Mid-year population estimate",1987,"12",12326,12987,25313
"Mid-year population estimate",1987,"13",12655,13461,26116
"Mid-year population estimate",1987,"14",13115,13897,27012
"Mid-year population estimate",1987,"15",12899,13568,26467
"Mid-year population estimate",1987,"16",13575,13944,27519
"Mid-year population estimate",1987,"17",13850,14221,28071
"Mid-year population estimate",1987,"18",14333,14833,29166
"Mid-year population estimate",1987,"19",14215,15018,29233
"Mid-year population estimate",1987,"20",13694,14347,28041
"Mid-year population estimate",1987,"21",13048,13876,26924
"Mid-year population estimate",1987,"22",13078,13896,26974
"Mid-year population estimate",1987,"23",12779,13640,26419
"Mid-year population estimate",1987,"24",12384,13448,25832
"Mid-year population estimate",1987,"25",12181,12270,24451
"Mid-year population estimate",1987,"26",12168,12393,24561
"Mid-year population estimate",1987,"27",11986,12273,24259
"Mid-year population estimate",1987,"28",11474,11467,22941
"Mid-year population estimate",1987,"29",11264,11255,22519
"Mid-year population estimate",1987,"30",10894,10903,21797
"Mid-year population estimate",1987,"31",10548,10682,21230
"Mid-year population estimate",1987,"32",9971,10213,20184
"Mid-year population estimate",1987,"33",9850,10114,19964
"Mid-year population estimate",1987,"34",9878,10019,19897
"Mid-year population estimate",1987,"35",9492,9652,19144
"Mid-year population estimate",1987,"36",9651,9897,19548
"Mid-year population estimate",1987,"37",9699,9805,19504
"Mid-year population estimate",1987,"38",9667,9722,19389
"Mid-year population estimate",1987,"39",9948,9770,19718
"Mid-year population estimate",1987,"40",10165,9988,20153
"Mid-year population estimate",1987,"41",9426,9352,18778
"Mid-year population estimate",1987,"42",9524,9151,18675
"Mid-year population estimate",1987,"43",9520,9289,18809
"Mid-year population estimate",1987,"44",9495,9269,18764
"Mid-year population estimate",1987,"45",8596,8457,17053
"Mid-year population estimate",1987,"46",8075,7908,15983
"Mid-year population estimate",1987,"47",8033,7726,15759
"Mid-year population estimate",1987,"48",8181,7822,16003
"Mid-year population estimate",1987,"49",7906,7664,15570
"Mid-year population estimate",1987,"50",8033,7683,15716
"Mid-year population estimate",1987,"51",7903,7544,15447
"Mid-year population estimate",1987,"52",7529,7174,14703
"Mid-year population estimate",1987,"53",7475,7082,14557
"Mid-year population estimate",1987,"54",7670,7060,14730
"Mid-year population estimate",1987,"55",7634,6973,14607
"Mid-year population estimate",1987,"56",7886,7005,14891
"Mid-year population estimate",1987,"57",7949,6943,14892
"Mid-year population estimate",1987,"58",7686,6767,14453
"Mid-year population estimate",1987,"59",7558,6589,14147
"Mid-year population estimate",1987,"60",7703,6782,14485
"Mid-year population estimate",1987,"61",7736,6719,14455
"Mid-year population estimate",1987,"62",7408,6577,13985
"Mid-year population estimate",1987,"63",7587,6481,14068
"Mid-year population estimate",1987,"64",7540,6277,13817
"Mid-year population estimate",1987,"65",7638,6350,13988
"Mid-year population estimate",1987,"66",7679,6306,13985
"Mid-year population estimate",1987,"67",7480,6078,13558
"Mid-year population estimate",1987,"68",6557,5283,11840
"Mid-year population estimate",1987,"69",5965,4627,10592
"Mid-year population estimate",1987,"70",5912,4610,10522
"Mid-year population estimate",1987,"71",6007,4467,10474
"Mid-year population estimate",1987,"72",6313,4599,10912
"Mid-year population estimate",1987,"73",6077,4309,10386
"Mid-year population estimate",1987,"74",6040,4057,10097
"Mid-year population estimate",1987,"75",5680,3825,9505
"Mid-year population estimate",1987,"76",5480,3509,8989
"Mid-year population estimate",1987,"77",5099,3138,8237
"Mid-year population estimate",1987,"78",4747,2840,7587
"Mid-year population estimate",1987,"79",4375,2498,6873
"Mid-year population estimate",1987,"80",4088,2194,6282
"Mid-year population estimate",1987,"81",3849,1881,5730
"Mid-year population estimate",1987,"82",3261,1610,4871
"Mid-year population estimate",1987,"83",2861,1328,4189
"Mid-year population estimate",1987,"84",2500,1088,3588
"Mid-year population estimate",1987,"85",2434,957,3391
"Mid-year population estimate",1987,"86",2102,789,2891
"Mid-year population estimate",1987,"87",1779,643,2422
"Mid-year population estimate",1987,"88",1449,515,1964
"Mid-year population estimate",1987,"89",1171,401,1572
"Mid-year population estimate",1987,"90",3610,999,4609
"Mid-year population estimate",1987,"All",809104,772850,1581954
"Mid-year population estimate",1988,"0",13380,13988,27368
"Mid-year population estimate",1988,"1",13325,14178,27503
"Mid-year population estimate",1988,"2",13165,13965,27130
"Mid-year population estimate",1988,"3",12909,13828,26737
"Mid-year population estimate",1988,"4",12922,13582,26504
"Mid-year population estimate",1988,"5",12756,13443,26199
"Mid-year population estimate",1988,"6",12724,13229,25953
"Mid-year population estimate",1988,"7",13138,13651,26789
"Mid-year population estimate",1988,"8",13192,13920,27112
"Mid-year population estimate",1988,"9",12768,13169,25937
"Mid-year population estimate",1988,"10",12326,12788,25114
"Mid-year population estimate",1988,"11",12035,12640,24675
"Mid-year population estimate",1988,"12",12081,12750,24831
"Mid-year population estimate",1988,"13",12316,12952,25268
"Mid-year population estimate",1988,"14",12600,13385,25985
"Mid-year population estimate",1988,"15",13055,13813,26868
"Mid-year population estimate",1988,"16",12785,13381,26166
"Mid-year population estimate",1988,"17",13456,13902,27358
"Mid-year population estimate",1988,"18",13761,14353,28114
"Mid-year population estimate",1988,"19",14133,14720,28853
"Mid-year population estimate",1988,"20",13536,14140,27676
"Mid-year population estimate",1988,"21",12925,13486,26411
"Mid-year population estimate",1988,"22",12732,13447,26179
"Mid-year population estimate",1988,"23",12873,13587,26460
"Mid-year population estimate",1988,"24",12643,13365,26008
"Mid-year population estimate",1988,"25",12210,12669,24879
"Mid-year population estimate",1988,"26",12201,12149,24350
"Mid-year population estimate",1988,"27",12101,12220,24321
"Mid-year population estimate",1988,"28",11897,12013,23910
"Mid-year population estimate",1988,"29",11417,11264,22681
"Mid-year population estimate",1988,"30",11291,11167,22458
"Mid-year population estimate",1988,"31",10955,10871,21826
"Mid-year population estimate",1988,"32",10598,10662,21260
"Mid-year population estimate",1988,"33",9947,10174,20121
"Mid-year population estimate",1988,"34",9871,10036,19907
"Mid-year population estimate",1988,"35",9866,10002,19868
"Mid-year population estimate",1988,"36",9504,9655,19159
"Mid-year population estimate",1988,"37",9680,9872,19552
"Mid-year population estimate",1988,"38",9684,9739,19423
"Mid-year population estimate",1988,"39",9669,9701,19370
"Mid-year population estimate",1988,"40",9976,9739,19715
"Mid-year population estimate",1988,"41",10211,9962,20173
"Mid-year population estimate",1988,"42",9404,9303,18707
"Mid-year population estimate",1988,"43",9526,9131,18657
"Mid-year population estimate",1988,"44",9481,9253,18734
"Mid-year population estimate",1988,"45",9463,9238,18701
"Mid-year population estimate",1988,"46",8582,8422,17004
"Mid-year population estimate",1988,"47",8054,7870,15924
"Mid-year population estimate",1988,"48",7994,7685,15679
"Mid-year population estimate",1988,"49",8144,7795,15939
"Mid-year population estimate",1988,"50",7865,7592,15457
"Mid-year population estimate",1988,"51",8008,7638,15646
"Mid-year population estimate",1988,"52",7869,7522,15391
"Mid-year population estimate",1988,"53",7484,7130,14614
"Mid-year population estimate",1988,"54",7402,7009,14411
"Mid-year population estimate",1988,"55",7642,7004,14646
"Mid-year population estimate",1988,"56",7605,6916,14521
"Mid-year population estimate",1988,"57",7817,6936,14753
"Mid-year population estimate",1988,"58",7903,6835,14738
"Mid-year population estimate",1988,"59",7637,6674,14311
"Mid-year population estimate",1988,"60",7523,6512,14035
"Mid-year population estimate",1988,"61",7650,6686,14336
"Mid-year population estimate",1988,"62",7698,6639,14337
"Mid-year population estimate",1988,"63",7341,6465,13806
"Mid-year population estimate",1988,"64",7525,6348,13873
"Mid-year population estimate",1988,"65",7452,6117,13569
"Mid-year population estimate",1988,"66",7534,6196,13730
"Mid-year population estimate",1988,"67",7569,6108,13677
"Mid-year population estimate",1988,"68",7324,5887,13211
"Mid-year population estimate",1988,"69",6405,5090,11495
"Mid-year population estimate",1988,"70",5836,4464,10300
"Mid-year population estimate",1988,"71",5752,4414,10166
"Mid-year population estimate",1988,"72",5854,4219,10073
"Mid-year population estimate",1988,"73",6095,4341,10436
"Mid-year population estimate",1988,"74",5874,4069,9943
"Mid-year population estimate",1988,"75",5801,3812,9613
"Mid-year population estimate",1988,"76",5451,3533,8984
"Mid-year population estimate",1988,"77",5225,3245,8470
"Mid-year population estimate",1988,"78",4866,2889,7755
"Mid-year population estimate",1988,"79",4478,2581,7059
"Mid-year population estimate",1988,"80",4101,2225,6326
"Mid-year population estimate",1988,"81",3787,1964,5751
"Mid-year population estimate",1988,"82",3637,1641,5278
"Mid-year population estimate",1988,"83",3004,1394,4398
"Mid-year population estimate",1988,"84",2635,1114,3749
"Mid-year population estimate",1988,"85",2464,962,3426
"Mid-year population estimate",1988,"86",2104,761,2865
"Mid-year population estimate",1988,"87",1789,617,2406
"Mid-year population estimate",1988,"88",1500,503,2003
"Mid-year population estimate",1988,"89",1214,395,1609
"Mid-year population estimate",1988,"90",3678,1079,4757
"Mid-year population estimate",1988,"All",811660,773780,1585440
"Mid-year population estimate",1989,"0",12731,13617,26348
"Mid-year population estimate",1989,"1",13247,13873,27120
"Mid-year population estimate",1989,"2",13197,14065,27262
"Mid-year population estimate",1989,"3",13063,13820,26883
"Mid-year population estimate",1989,"4",12814,13697,26511
